Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection	Reprint Publisher	Reprint Publication Date	Pseudonymn																
&ldquo;[T]here is no question that service employees that have come forward with sex harassment allegations in the high-end restaurant industry have been unfairly maligned, especially when it comes to future employment.&rdquo;	flip	journalism	Kitty Greenwald	&ldquo;The Predators in the Kitchen&rdquo;		26 May 2018	The New York Times																				

To me, feasting, feeding and eating with people remains a generous and celebratory act, one I find beautiful. And I know that to succeed in restaurants, which are notoriously challenging both physically and financially, passion is key.	pour	journalism	Kitty Greenwald	&ldquo;The Predators in the Kitchen		26 May 2018	The New York Times																				

A celebrity chef told me that her shirt was ripped off of her when she was working as a line cook early on in her career.	remove	journalism	Kitty Greenwald	&ldquo;The Predators in the Kitchen&rdquo;		26 May 2018	The New York Times																				

In all of my conversations with women in the food industry, I was struck by the pattern of young women who were drawn to restaurants as a possible career&mdash;and who changed their minds after their early experiences.	flip	journalism	Kitty Greenwald	&ldquo;The Predators in the Kitchen&rdquo;		26 May 2018	The New York Times																				

High-end kitchens have long been regarded as a male domain, with culinary students worshiping brutal but allegedly brilliant men...	press	journalism	Jen Agg	&ldquo;Sexism in the Kitchen&rdquo;		19 October 2015	The New York Times																				

Slapping with tongs, snapping bras, relentless grabbing&mdash;women chefs learn quickly to crouch, never bend over, when picking up a pot.	adjust	journalism	Jen Agg	&ldquo;Sexism in the Kitchen&rdquo;		19 October 2015	The New York Times																				

[F]emale chefs on television showcase their skills in their own homes, or sets designed to look like them, reinforcing the notion that that&rsquo;s where women cook.	close	journalism	Marnie Hanel	&ldquo;A Woman&rsquo;s Place is Running the Kitchen&rdquo;		28 March 2014	The New York Times																				

Should home cooks throw out the cookbooks from chefs exposed for regularly grabbing and propositioning women? What if the chef is facing sexual assault charges?	empty	journalism	Kim Severson	&ldquo;Food Writing in the #MeToo Era&rdquo;		16 July 2018	The New York Times																				

The woman was supposed to cook at home, for the family...she had been appointed by the president, and that no one else mattered.	shake	journalism	Elaine Sciolino	&ldquo;Culinary Battles of Mitterand&rsquo;s Chef go From Kitchen to Screen&rdquo;		26 October 2012	The New York Times																				

They nickname her Countess du Barry after the favorite mistress of King Louis XV, and Mamie Nova, after a brand of dairy products that has a grandmother as its logo.	remove	journalism	Elaine Sciolino	&ldquo;Culinary Battles of Mitterand&rsquo;s Chef go From Kitchen to Screen&rdquo;		26 October 2012	The New York Times																				

[S]he becomes a self-righteous Joan of Arc of the kitchen.	check	journalism	Elaine Sciolino	&ldquo;Culinary Battles of Mitterand&rsquo;s Chef go From Kitchen to Screen&rdquo;		26 October 2012	The New York Times																				

[S]he realized early on that to survive in this new job, she needed an old kitchen skill&#58; the ability to appear tough, harsh and thick-skinned. She, like most chefs at the time, had been trained in restaurant kitchens where shouting, sexism and slashing insults were the norm.	take	journalism	Julia Moskin and Kim Severson	&ldquo;April Bloomfield Breaks Her Silence About Harassment at Her Restaurants&rdquo;		16 October 2018	The New York Times																				

It always seems very strange to me that women are home cooking and they don&rsquo;t get paid.	take	journalism	Judy Klemesrud	&ldquo;A Woman Chef at the Waldorf is Hotel&rsquo;s First&rdquo;		12 February 1973	The New York Times																				

[S]he complained she was consigned to an area of the kitchen referred to by her male colleagues as &ldquo;the c*** corner.&rdquo;	squeeze	journalism		&ldquo;Men in Ramsay&rsquo;s Kitchen Made my Life Hell, Says Woman Chef&rdquo;		22 April 2011	The Times																				

They can stand the heat and they have every intention of taking more ground in the kitchen.	turn-on	journalism	Gabriella Bennett	&ldquo;Festival&rsquo;s All-Female Line-up Reflects Change in the Professional Kitchen&rdquo;		1 May 2017	The Times																				

Many women expressed relief that the systemic misogyny and sexual harassment they have experienced in their workplaces have become public knowledge.	wash	journalism	Julia Moskin	&ldquo;Star Sommelier Resigns After Accusations of Sexual Assault&rdquo;		7 November 2019	The New York Times																				

She decided to work harder, knowing that pushing back could put her job in jeopardy.	adjust	journalism	Julia Moskin and Kim Severson	&ldquo;Ken Friedman, Power Restaurateur, Is Accused of Sexual Harassment&rdquo;		12 December 2017	The New York Times																				

&ldquo;&lsquo;Everyone&rsquo; means the male chefs and the male restaurant owners and the male C.F.O.s,&rdquo; she said. &ldquo;Advancement is incredibly hard for women in this industry because you never know what the men are saying about you.&rdquo;	press	journalism	Julia Moskin and Kim Severson	&ldquo;Ken Friedman, Power Restaurateur, Is Accused of Sexual Harassment&rdquo;		12 December 2017																					

Interviews with more than 30 women in the industry suggest that sexual harassment is routine and sexual assault is pervasive. Many said they had been assaulted on the job by men they reported to or had professional relationships with.	squeeze	journalism	Julia Moskin	&ldquo;A Celebrity Sommelier Is Accused of Sexual Assault&rdquo;		1 November 2019																					

A former McDonald&rsquo;s employee who says a manager at a Michigan store grabbed her breasts and buttocks is suing the chain, blaming her mistreatment on what she calls a culture of sexual harassment at the fast-food company.	take	journalism	David Yaffe-Bellany	&ldquo;McDonald&rsquo;s Lawsuit Targets ÔPervasive&rsquo; Culture of Sexual Harassment&rdquo;		12 November 2019																					

It isn&rsquo;t just the notoriously sexist culture of restaurant kitchens that is at fault, but the economic structure that turns customers into shadow employers, leaving servers&mdash;so often women&mdash;vulnerable to the predations anyone picking up the bill might feel entitled to exercise.	squeeze	journalism	Ginia Bellafante	&ldquo;When Living on Tips Means Putting Up With Harassment&rdquo;		17 October 2014																					

&ldquo;It&rsquo;s stupid. A chef is a chef.&rdquo;	flip	journalism	Miranda Bryant	&ldquo;Three Michelin Stars! Meet the First Woman to Smash America&rsquo;s Boys&rsquo; Club&rdquo;		11 February 2019	The Guardian																				

Today, Mario Batali surrendered ownership of all of his restaurants. In 2017, @hels wrote about the celebrity chef&rsquo;s long history of disregard for boundaries, and his #MeToo-era reckoning	empty	socialmedia	The New Yorker			6 March 2019																					

&ldquo;The #MeToo movement has uncovered a myriad of abuses in the restaurant industry that must be addressed&rdquo;	turn-on	socialmedia	Time			11 February 2019																					

Mario Batali stepped away from his restaurant empire after several women accused him of sexual harassment and assault. Like some of the men accused of misconduct during the #MeToo movement, Batali faced civil litigation but had avoided criminal charges.	peel	socialmedia	The Boston Globe			22 May 2019																					

EXCLUSIVE: BBC chef who stars in show with Mary Berry banned from own restaurant over sexual harassment claims Dan Doherty, ex-Duck &amp; Waffle head chef, investigated after demanding &ldquo;blow job&rdquo; and asking female staff for sex. #MeToo meets culinary world	remove	socialmedia	Gabriel Pogrund			29 January 2019																					

Shocking tales from the kitchen here&mdash;is the restaurant world having its #MeToo moment?	open	socialmedia	Telegraph Woman			29 January 2019																					

We reached a settlement for 11 former employees of NYC restaurant The Spotted Pig after finding owner Ken Friedman subjected employees to severe incidents of unwanted touching &amp; sexual advances. The survivors will get $240K & a 10-year profit share from the restaurant. #MeToo	wash	socialmedia	NY AG James			7 January 2020																					

Working people should be safe on the job, free from sexual harassment, assault, and other awful behavior/actions. For too long, corporations like McDonald&rsquo;s ignored what happened inside their restaurants. That changes now. #MeToo	mix	socialmedia	Jobs for Justice			23 May 2019																					

The investigation, which began in 2018, also found that employees had endured &ldquo;severe and pervasive incidents of unwanted touching and unwelcome sexual advances&rdquo; by Mario Batali. The inquiry into Mr. Batali remains open.	open	socialmedia	NYT Food			7 January 2020																					

Actions have consequences. Major #WomensHistoryMonth milestone moment for the brave survivors of serial sexual harasser Mario Batali, who sold all shares of his restaurants. May ALL restaurants and kitchens be safe from abuse. #WeSaidEnough #MeToo	cut	socialmedia	Christine Pelosi			6 March 2019																					

A line cook is less likely to pretend a baguette is a penis, but has #MeToo has really changed the restaurant business?	check	socialmedia	Kim Severson			27 September 2019																					

We both agree there have been significant changes since towering culinary figures like John Besh, Mario Batali and Ken Friedman fell after women told their stories about sexual harassment, abuse and assault.	wash	journalism	Kim Severson	&ldquo;How #MeToo Changed Your Lunch&rdquo;		27 September 2019	The New York Times																				

Sexual harassment in the hospitality industry has deep roots tied to racial, gender and economic oppression, she said. A new human resource policy or a pat on the back for an enlightened manager are mere Band-Aids.	insert	journalism	Kim Severson	&ldquo;How #MeToo Changed Your Lunch&rdquo;		27 September 2019	The New York Times																				

