Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection	Reprint Publisher	Reprint Publication Date	Pseudonymn																
"Often she was sad and silent, at which times her full arched lips were compressed into hard bitter lines, and shadows fell under her black eyes. Then I clung to her hand and begged to know what made the tears fall."	remove	literature	Zitk‡la-_‡	"""Impressions of an Indian Childhood,"" American Indian Stories"	7	1921	Hayworth Publishing				Gertrude Bonnin																
Once again her dangerous sense of humor threatened her.	turn-off	literature	Mary Roberts Rinehart	K	9	1914	McClure Publications																				
"Quite suddenly she knew she was going to run away. . . . Not that she was the least bit unhappy but because she must get out in the world,--she felt caged, imprisoned."	press	literature	Jessie Redmon Fauset	"""The Sleeper Wakes"" "	5	1920	The Crisis	The Sleeper Wakes: Harlem Rennaissance Stories by Women	Rutgers University Press	1993																	
"Race! The thing that bound and suffocated her. Whatever steps she took, or if she took none at all, something would be crushed."	squeeze	literature	Nella Larsen	Passing	180	1929	A. A. Knopf																				
She and her children have eggs and buttered rolls for breakfast each morning like millionaires.	pour	literature	Anzia Yezierska	"""The Fat of the Land"" "	79	1920	Houghton Mifflin	How I Found America: Collected Stories of Anzia Yezierska	Persea Books	1991																	
She did not talk to people as if they were strange hard shells she had to crack open to get inside. She talked as if she were already in the shell. In their very shell.	peel	literature	Marita Bonner	"""Nothing New"""	121	1926	The Crisis	The Sleeper Wakes: Harlem Rennaissance Stories by Women	Rutgers University Press	1993																	
She felt herself beset with difficulties too evasive to be fought by so direct a temperament.	turn-off	literature	Edith Wharton	"""A Journey,"" The Greater Inclination"	29	1899	Charles Scribner's Sons																				
She found herself the centre of sympathetic eyes.	check	literature	Edith Wharton	"""A Journey,"" The Greater Inclination"	38	1899	Charles Scribner's Sons																				
She had an inside and an outside now and suddenly she knew how not to mix them.	flip	literature	Zora Neale Hurston	Their Eyes Were Watching God	72	1937	"J.B. Lippincott, Inc."		Harper Perennial	2006																	
"She has a way of getting an idea and letting it simmer on the back of her brain, as you may say, when nobody knows it's been cooking at all, and then suddenly bringing it out cooked and seasoned and ready to serve."	insert	literature	Mary Roberts Rinehart	Tish	107	1912	Curtis Publishing		Houghton Mifflin	1916																	
"She is intelligent enough, but in a contest between instinct and brains, she always follows her instinct. "	flip	literature	Mary Roberts Rinehart	Tish	103	1912	Curtis Publishing		Houghton Mifflin	1916																	
She lost her soul. 	empty	literature	Kate Langley Bosher	People Like That	132	1916	Harper & Brothers																				
She may prove something very different from the pretty shallowness she seems.	mix	literature	Catharine Maria Sedgwick	Married or Single?	31	1857	Harper & Brothers		Univeristy of Nebraska Press	2015																	
"She opened her lips as if to question; when her eye caught sight of the pale, still form, and she remained silent."	flip	literature	Lois Nichols Waisbrooker	Helen Harlow's Vow	76	1887	William White																				
"She sat with her head inclined downward, in a listening and meditative posture."	wash	literature	Catharine Maria Sedgwick	Married or Single?	65	1857	Harper & Brothers		Univeristy of Nebraska Press	2015																	
She seemed unaware of any danger or uncaring.	turn-off	literature	Nella Larsen	Passing	209	1929	A. A. Knopf																				
"She seems absorbed, silent, thoughtful, sad, and--and--you know what I fear. She says she is not sick, then it is some mental trouble, I am sure."	close	literature	Mar’a Amparo Ruiz de Burton	The Squatter and the Don	95	1885	C. Loyal																				
She stood there until something fell off the shelf inside her. Then she went inside there to see what it was.	take	literature	Zora Neale Hurston	Their Eyes Were Watching God	72	1937	"J.B. Lippincott, Inc."		Harper Perennial	2006																	
"She struggled to avert her look, but her eyes refused to move and her head seemed to be held in a vice."	empty	literature	Edith Wharton	"""A Journey,"" The Greater Inclination"	42	1899	Charles Scribner's Sons																				
"She tried in a blind, hopeless way to do her duty, secretly rebelling against it all the while, for it seemed unjust that her few joys should be lessened, her burdens made heavier, and life get harder and harder as she toiled along."	shake	literature	Louisa May Alcott	"Little Women or Meg, Jo, Beth, and Amy"	408	1868-69	Roberts Brothers		"Sampson Low, Marston, Low, and Searle"	1872																	
"She was doing all she could to make them happy. She made no demands, none. But when she asked for something that meant more than life to her, it was refused, of course. "	turn	literature	Mary Roberts Rinehart	Dangerous Days	49	1919	George H. Doran																				
"She was living in bad society; and imaginary though it was, its influence affected her, for she was feeding heart and fancy on dangerous and unsubstantial food, and was fast brushing the innocent bloom from her nature by a premature acquaintance with the darker side of life, . . . ."	squeeze	literature	Louisa May Alcott	"Little Women or Meg, Jo, Beth, and Amy"	330	1868-69	Roberts Brothers		"Sampson Low, Marston, Low, and Searle"	1872																	
"She's an odd little thing, all fire and flame."	turn-on	literature	Kate Langley Bosher	People Like That	147	1916	Harper & Brothers																				
"So gradually, she pressed her teeth together and learned to hush."	press	literature	Zora Neale Hurston	Their Eyes Were Watching God	71	1937	"J.B. Lippincott, Inc."		Harper Perennial	2006																	
"That frail, bent old thing making of her nothing a feast of plenty, feeding with it little hungry mouths that never had enough."	fill	literature	Anzia Yezierska	Arrogant Beggar	225	1927	Double Day																				
"The work was the best thing in the world for her. It kept her from becoming too introspective, though even then she did more serious, connected thinking than she had done in all the years of her varied life."	fill	literature	Jessie Redmon Fauset	"""The Sleeper Wakes"""	16	1920	The Crisis	The Sleeper Wakes: Harlem Rennaissance Stories by Women	Rutgers University Press	1993																	
"There were tears in her eyes, hot blinding ones that would n't drop for pride, but stayed and scalded."	press	literature	Alice Dunbar Nelson	"""Little Miss Sophie,"" The Goodness of St. Rocque, and Other Stories"	145	1899	"Dodd, Mead and Company"		McGrath Publishing	1969																	
"Was it, perhaps, that she had endured all that woman could endure of tormenting humiliation and fear? Or was it that she lacked the capacity for the acme of suffering?"	empty	literature	Nella Larsen	Passing	199	1929	A. A. Knopf																				
"Was she about to lose everything--love, wealth, and position?"	cut	literature	Nella Larsen	"""The Wrong Man"""	257	1926	Young's Magazine	The Sleeper Wakes: Harlem Rennaissance Stories by Women	Rutgers University Press	1993																	
"Women have washed and baked, scrubbed, cried and prayed themselves into their graves for thousands of years, and no person has written a book advising them not to work too hard; . . . ."	wash	literature	Olive San Louie Anderson	"An American Girl, and Her Four Years in a Boys' College"	98	1878	D. Appleton and Company				SOLA																
